,SD01,SD02_01,SD03_01,SD04,SD05_01,SD06,SD07,HI01,HI02,HI03,HI04,HI05,HI06,VR01,VR02,VR03,VR03_01,VR03_02,VR03_03,VR03_04,VR03_05,VR04_01,VR04_02,VR04_03,VR04_04,VR04_05,VR04_06,VR05_01,VR05_02,VR05_03,VR06,HM01,HM02_01,HM03,HM04_01,HM05,HM06,HM07_01,HM07_02,HM07_03,HM07_04,HM07_05,HM07_06,K001,IS01_01,IS01_02,IS01_03,IS01_04,IS01_05,IS01_06,IS01_07,IS01_08,IS01_09,IS01_10,IS02_01,IS03_01,IO01,IO02,IO03,IO04,IO05,IO06,RW01_01,RW02_01,RW03_01,RW03_02,RW03_03,RW04_01,RW04_02,RW04_03,RW05_01,RW05_02,RW05_03,H101,H102_01,H102_02,H102_03,H102_04,H102_05,H102_06,H102_07,H103,H104_01,H104_02,H104_03,H105_01,H106_01,H201_01,H201_02,H202_01,H202_02,H202_03,CL01_01,CL01_02,CL01_03,CL01_04,CL01_05,CL01_06,CA01_01,CA01_02,CA01_03,CA01_04,CA01_05,CA01_06,CS01_01,CS01_02,CS01_03,CS01_04,CS01_05,CS01_06,US01_01,US01_02,US01_03,US01_04,unsicherheit_score,coping_score,risikowahrnehmung_score,handlungsbereitschaft_score,informationsverstaendnissubjektiv_score,quiz_score,M501_01,M501_02,M501_03,M501_04,M501_05,M501_06,M502_01,M502_02,M502_03,Zielgruppe
0,Männlich,1968,09116,Ausbildung,1,Nein,Nein,Ich wohne zur Miete.,Nein,in einem Mehrfamilienhaus oder einer Wohnung,0 bis 5 Jahres,länger als 10 Jahre,2. Etage oder höher,Ja,Edelgas,1,Nicht ausgewählt,Nicht ausgewählt,Nicht ausgewählt,Nicht ausgewählt,ausgewählt,Keine Angabe,eher ja,eher ja,Keine Angabe,Keine Angabe,Keine Angabe,gering,gering,gering,Ja,Nein,,Nein,,Nein,Nein,keine Wirksamkeit,keine Wirksamkeit,Keine Angabe,keine Wirksamkeit,keine Wirksamkeit,keine Wirksamkeit,Ich wohne in einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte über dem Referenzwert von 100 kBq/m3 an.,eher ja,eher ja,mittelmäßig,mittelmäßig,mittelmäßig,eher ja,mittelmäßig,mittelmäßig,mittelmäßig,mittelmäßig,sehr übersichtlich,habe das gefühl das dies ein weiterer versuch von panikmache ist,,,,,,,nein,eher gering,eher gering,eher gering,eher gering,3,4,3,eher gering,eher gering,eher gering,Nein,Keine Angabe,nein,Keine Angabe,Keine Angabe,ja,nein,ja,Keine Angabe,,,,,,ja,eher nein,eher ja,eher ja,Keine Angabe,stimme nicht zu,stimme zu,Keine Angabe,stimme zu,stimme nicht zu,stimme eher zu,stimme nicht zu,stimme zu,stimme eher zu,stimme eher zu,stimme nicht zu,Keine Angabe,stimme zu,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,stimme nicht zu,Keine Angabe,Keine Angabe,Keine Angabe,0.25,2.0555555555555554,2.0,2.4,3.3,0.6666666666666666,clicked,clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,Radon-Gebiet-Mieter*innen
1,Weiblich,1961,01108,Hochschulabschluß,2,Nein,Ja,Ich wohne im eigenen Haus bzw. in der eigenen Wohnung.,Nein,in einem  Ein- oder Zweifamilienhaus,länger als 10 Jahre,länger als 10 Jahre,1. Etage,Ja,Edelgas,1,Nicht ausgewählt,Nicht ausgewählt,ausgewählt,Nicht ausgewählt,Nicht ausgewählt,ja,nein,eher ja,ja,ja,nein,eher hoch,eher hoch,eher hoch,Ja,Nein,,Nein,,Nein,Nein,hohe Wirksamkeit,keine Wirksamkeit,hohe Wirksamkeit,Keine Angabe,eher hohe Wirksamkeit,hohe Wirksamkeit,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,ja,ja,ja,ja,ja,nein,ja,ja,ja,ja,Sachlich und informativ,nichts,Option B,Option B,Option A,Option A,Option B,Option B,ja,hoch,eher gering,eher gering,gering,4,4,4,eher hoch,eher gering,eher gering,Ja,,,,,,,,Ja,,,,,,ja,ja,ja,ja,ja,stimme nicht zu,stimme zu,stimme eher nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme eher zu,stimme zu,stimme eher nicht zu,stimme zu,stimme nicht zu,stimme eher zu,stimme eher nicht zu,stimme nicht zu,stimme nicht zu,stimme eher nicht zu,1.5,3.7222222222222223,1.6666666666666667,4.0,4.6,0.8333333333333334,clicked,clicked,clicked,not_clicked,clicked,clicked,not_clicked,not_clicked,not_clicked,Angrenzend zu einem Radon-Gebieten-Eigentum*innen
2,Männlich,1965,83278,Ausbildung,1,Nein,Nein,Ich wohne zur Miete.,Nein,in einem Mehrfamilienhaus oder einer Wohnung,6 bis 10 Jahre,6 bis 10 Jahre,1. Etage,Nein,,,,,,,,,,,,,,,,,Ja,,,,,,,,,,,,,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,ja,ja,eher ja,eher ja,ja,eher ja,mittelmäßig,eher ja,eher ja,eher ja,übersichtlich,viel Text,Option B,Option B,Option A,Option A,Option B,Option B,,eher gering,gering,eher gering,gering,3,3,3,Keine Angabe,eher gering,eher gering,Nein,Keine Angabe,eher nein,Keine Angabe,eher ja,eher ja,Keine Angabe,eher nein,Ja,,,,,,eher ja,eher ja,eher ja,eher ja,eher ja,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme nicht zu,Keine Angabe,stimme eher nicht zu,stimme eher zu,Keine Angabe,Keine Angabe,stimme eher zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,Keine Angabe,Keine Angabe,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher nicht zu,stimme eher nicht zu,2.5,2.111111111111111,1.3333333333333333,3.0,4.2,1.0,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,clicked,not_clicked,not_clicked,not_clicked,Angrenzend zu einem Radon-Gebieten-Mieter*innen
3,Weiblich,1977,01723,Ausbildung,3,Ja,Nein,Ich wohne im eigenen Haus bzw. in der eigenen Wohnung.,Ja,in einem  Ein- oder Zweifamilienhaus,6 bis 10 Jahre,länger als 10 Jahre,1. Etage,Nein,,,,,,,,,,,,,,,,,Ja,,,,,,,,,,,,,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,eher ja,ja,eher ja,ja,ja,eher ja,ja,ja,eher ja,mittelmäßig,,,ich weiss es nicht,ich weiss es nicht,ich weiss es nicht,ich weiss es nicht,ich weiss es nicht,ich weiss es nicht,,eher gering,Keine Angabe,eher gering,gering,4,3,4,Keine Angabe,Keine Angabe,Keine Angabe,Nein,eher nein,eher nein,ja,ja,ja,ja,ja,Nein,ja,ja,ja,,,eher ja,ja,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme zu,stimme eher nicht zu,stimme zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme zu,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,stimme eher zu,stimme zu,stimme zu,stimme zu,3.75,1.8888888888888888,1.0,1.4,4.4,0.8333333333333334,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,Angrenzend zu einem Radon-Gebieten-Eigentum*innen
4,Männlich,1982,01169,Ausbildung,1,Nein,Nein,Ich wohne zur Miete.,Nein,in einem Mehrfamilienhaus oder einer Wohnung,6 bis 10 Jahre,6 bis 10 Jahre,2. Etage oder höher,Nein,,,,,,,,,,,,,,,,,Nein,,,,,,,,,,,,,Ich wohne in einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte über dem Referenzwert von 100 kBq/m3 an.,eher ja,eher ja,eher ja,eher ja,eher ja,eher ja,eher ja,eher ja,eher ja,mittelmäßig,gut zu verstehender text,nichts,Option B,Option B,Option A,Option A,Option B,Option B,,eher hoch,eher hoch,eher gering,eher gering,3,3,3,eher hoch,eher hoch,eher gering,Nein,eher nein,eher nein,eher ja,eher ja,eher ja,eher ja,eher nein,Nein,eher ja,eher ja,eher ja,,,eher nein,eher nein,eher nein,eher nein,eher nein,stimme eher nicht zu,stimme eher zu,stimme eher zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher zu,2.75,2.611111111111111,2.3333333333333335,2.0,3.9,0.16666666666666666,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,Radon-Gebiet-Mieter*innen
5,Weiblich,1953,08321,Hochschulabschluß,2,Nein,Nein,Ich wohne im eigenen Haus bzw. in der eigenen Wohnung.,Ja,in einem Mehrfamilienhaus oder einer Wohnung,länger als 10 Jahre,länger als 10 Jahre,Erdgeschoß,Ja,Edelgas,1,Nicht ausgewählt,Nicht ausgewählt,Nicht ausgewählt,Nicht ausgewählt,ausgewählt,ja,ja,ja,eher ja,eher nein,eher ja,eher hoch,eher hoch,eher hoch,Ja,Nein,,Nein,,Nein,Nein,hohe Wirksamkeit,hohe Wirksamkeit,hohe Wirksamkeit,hohe Wirksamkeit,hohe Wirksamkeit,hohe Wirksamkeit,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,ja,ja,ja,ja,ja,mittelmäßig,ja,ja,ja,ja,,,Option B,Option B,ich weiss es nicht,Option A,Option B,ich weiss es nicht,nein,gering,eher gering,hoch,Keine Angabe,2,3,3,eher hoch,eher hoch,eher gering,Nein,eher ja,eher ja,ja,eher nein,eher nein,eher ja,eher ja,Ja,,,,,,ja,ja,ja,ja,Keine Angabe,stimme zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme nicht zu,stimme zu,Keine Angabe,stimme zu,stimme zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher zu,stimme eher zu,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,0.0,2.388888888888889,2.0,3.2,4.8,1.0,clicked,clicked,clicked,not_clicked,clicked,clicked,clicked,not_clicked,not_clicked,Angrenzend zu einem Radon-Gebieten-Eigentum*innen
6,Männlich,1956,20184,Hochschulabschluß,1,Nein,Ja,Ich wohne zur Miete.,Ja,in einem Mehrfamilienhaus oder einer Wohnung,6 bis 10 Jahre,länger als 10 Jahre,2. Etage oder höher,Ja,Edelgas,-1,Nicht ausgewählt,Nicht ausgewählt,Nicht ausgewählt,Nicht ausgewählt,Nicht ausgewählt,eher ja,ja,ja,ja,Keine Angabe,nein,eher gering,gering,gering,Ja,Nein,,Nein,,Nein,Nein,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,ja,ja,ja,ja,ja,mittelmäßig,ja,ja,ja,eher ja,,,Option B,Option A,Option A,Option A,Option B,Option B,eher ja,eher hoch,Keine Angabe,eher gering,eher hoch,3,4,3,Keine Angabe,eher gering,gering,Nein,Keine Angabe,nein,ja,Keine Angabe,Keine Angabe,eher ja,Keine Angabe,Ja,,,,,,ja,Keine Angabe,ja,ja,Keine Angabe,stimme eher nicht zu,stimme zu,stimme eher zu,stimme zu,stimme nicht zu,stimme zu,Keine Angabe,stimme zu,Keine Angabe,Keine Angabe,stimme eher zu,Keine Angabe,Keine Angabe,stimme zu,stimme zu,Keine Angabe,stimme eher nicht zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher zu,Keine Angabe,stimme eher nicht zu,1.75,2.0555555555555554,1.6666666666666667,2.4,4.7,0.8333333333333334,clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,Angrenzend zu einem Radon-Gebieten-Mieter*innen
7,Weiblich,1966,93437,Ausbildung,2,Nein,Ja,Ich wohne zur Miete.,Nein,in einem  Ein- oder Zweifamilienhaus,länger als 10 Jahre,länger als 10 Jahre,1. Etage,Nein,,,,,,,,,,,,,,,,,Ja,,,,,,,,,,,,,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,mittelmäßig,mittelmäßig,mittelmäßig,mittelmäßig,mittelmäßig,eher nein,eher nein,mittelmäßig,eher nein,mittelmäßig,nichts,zu kompliziert,Option B,Option B,Option A,Option A,Option B,Option B,,Keine Angabe,eher gering,eher gering,Keine Angabe,3,3,-1,eher gering,eher gering,eher gering,Nein,eher ja,nein,eher ja,Keine Angabe,ja,Keine Angabe,Keine Angabe,Nein,eher ja,eher ja,eher ja,,,ja,eher ja,ja,eher ja,nein,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme eher zu,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,stimme zu,stimme nicht zu,stimme zu,Keine Angabe,stimme nicht zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher nicht zu,1.75,1.4444444444444444,1.3333333333333333,3.0,2.7,0.3333333333333333,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,Angrenzend zu einem Radon-Gebieten-Mieter*innen
8,Männlich,1950,85716,Hochschulabschluß,2,Nein,Nein,Ich wohne im eigenen Haus bzw. in der eigenen Wohnung.,Ja,in einem  Ein- oder Zweifamilienhaus,länger als 10 Jahre,länger als 10 Jahre,Keine Angabe,Ja,Edelgas,1,Nicht ausgewählt,Nicht ausgewählt,Nicht ausgewählt,Nicht ausgewählt,ausgewählt,ja,eher ja,nein,ja,ja,nein,eher hoch,eher gering,eher gering,Ja,Nein,,Nein,,Nein,Nein,keine Wirksamkeit,keine Wirksamkeit,keine Wirksamkeit,keine Wirksamkeit,keine Wirksamkeit,eher hohe Wirksamkeit,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,ja,ja,ja,ja,ja,ja,ja,ja,ja,ja,Grundsatzinfos,nichts,Option B,Option B,Option A,Option A,Option B,Option A,nein,eher hoch,gering,gering,gering,4,4,4,hoch,eher hoch,eher gering,Nein,Keine Angabe,nein,eher ja,ja,ja,nein,ja,Nein,ja,ja,ja,,,ja,nein,ja,nein,ja,Keine Angabe,stimme zu,stimme zu,stimme zu,stimme nicht zu,stimme zu,stimme eher nicht zu,stimme zu,stimme eher zu,stimme eher zu,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu,stimme nicht zu,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu,4.0,2.5555555555555554,1.0,2.8,5.0,0.5,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,Angrenzend zu einem Radon-Gebieten-Eigentum*innen
9,Männlich,1966,93413,Hochschulabschluß,4,Ja,Ja,Ich wohne im eigenen Haus bzw. in der eigenen Wohnung.,Nein,in einem  Ein- oder Zweifamilienhaus,6 bis 10 Jahre,länger als 10 Jahre,1. Etage,Ja,Edelgas,1,Nicht ausgewählt,Nicht ausgewählt,Nicht ausgewählt,Nicht ausgewählt,ausgewählt,ja,eher ja,ja,ja,ja,eher ja,hoch,hoch,hoch,Ja,Nein,,Ja,Isolation,Nein,Ja,eher hohe Wirksamkeit,eher geringe Wirksamkeit,eher geringe Wirksamkeit,eher geringe Wirksamkeit,eher hohe Wirksamkeit,eher hohe Wirksamkeit,Ich wohne in einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte über dem Referenzwert von 100 kBq/m3 an.,ja,ja,ja,ja,ja,eher ja,eher ja,eher ja,ja,ja,"Gut, da ich zum ersten mal etwas über die konkrete Gefährdung meines Hauses durch Radon erfahre.",nichts,Option B,Option B,Option A,Option A,Option B,Option B,ja,hoch,eher gering,eher gering,gering,4,4,3,hoch,hoch,hoch,Ja,,,,,,,,Ja,,,,,,ja,ja,ja,ja,ja,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme zu,stimme eher nicht zu,stimme eher zu,stimme nicht zu,stimme eher zu,stimme eher zu,stimme eher nicht zu,stimme eher nicht zu,2.5,2.4444444444444446,1.6666666666666667,4.0,4.7,0.8333333333333334,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,Radon-Gebiet-Eigentum*innen
