,SD01,SD02_01,SD03_01,SD04,SD05_01,SD06,SD07,HI01,HI02,HI03,HI04,HI05,HI06,VR01,VR02,VR03,VR03_01,VR03_02,VR03_03,VR03_04,VR03_05,VR04_01,VR04_02,VR04_03,VR04_04,VR04_05,VR04_06,VR05_01,VR05_02,VR05_03,VR06,HM01,HM02_01,HM03,HM04_01,HM05,HM06,HM07_01,HM07_02,HM07_03,HM07_04,HM07_05,HM07_06,RG01,RG02,IS01_01,IS01_02,IS01_03,IS01_04,IS01_05,IS01_06,IS01_07,IS01_08,IS01_09,IS01_10,IS02_01,IS03_01,IO01,IO02,IO03,IO04,IO05,IO06,RW01_01,RW02_01,RW03_01,RW03_02,RW03_03,RW04_01,RW04_02,RW04_03,RW05_01,RW05_02,RW05_03,H101,H102_01,H102_02,H102_03,H102_04,H102_05,H102_06,H102_07,H103,H104_01,H104_02,H104_03,H105_01,H106_01,H201_01,H201_02,H202_01,H202_02,H202_03,CL01_01,CL01_02,CL01_03,CL01_04,CL01_05,CL01_06,CA01_01,CA01_02,CA01_03,CA01_04,CA01_05,CA01_06,CS01_01,CS01_02,CS01_03,CS01_04,CS01_05,CS01_06,US01_01,US01_02,US01_03,US01_04,unsicherheit_score,coping_score,risikowahrnehmung_score,handlungsbereitschaft_score,informationsverstaendnissubjektiv_score,quiz_score,M101_01,M101_02,M101_03,M101_04,M101_05,M101_06,M101_07,M101_08,M101_09,M101_10,M101_11,M101_12,M101_13,M101_14,M101_15,M101_16,M201_01,M201_02,M201_03,M201_04,M201_05,M201_06,M201_07,M201_08,M201_09,M201_10,M201_11,M201_12,M201_13,M201_14,M201_15,M201_16,M401_01,M401_02,M401_03,M401_04,M401_05,M401_06,M401_07,M401_08,M401_09,M401_10,M401_11,M401_12,M401_13,M401_14,M401_15,M401_16,M301_01,M301_02,M301_03,M301_04,M301_05,M301_06,M301_07,M301_08,M301_09,M301_10,M301_11,M301_12,M301_13,M301_14,M301_15,M301_16,Zielgruppe
0,Männlich,1960,08228,Hochschulabschluß,2,Nein,Nein,Ich wohne zur Miete.,Nein,in einem Mehrfamilienhaus oder einer Wohnung,0 bis 5 Jahres,länger als 10 Jahre,Erdgeschoß,Ja,Edelgas,1,Nicht ausgewählt,Nicht ausgewählt,Nicht ausgewählt,Nicht ausgewählt,ausgewählt,eher ja,eher nein,eher ja,eher nein,eher ja,nein,eher gering,eher gering,eher gering,Ja,Nein,,Nein,,Nein,Nein,eher hohe Wirksamkeit,eher geringe Wirksamkeit,eher geringe Wirksamkeit,eher geringe Wirksamkeit,eher hohe Wirksamkeit,eher hohe Wirksamkeit,,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,mittelmäßig,eher ja,eher nein,eher nein,eher nein,nein,mittelmäßig,mittelmäßig,mittelmäßig,eher nein,,,Option B,Option B,Option A,Option A,Option B,Option B,eher nein,eher gering,eher gering,eher gering,gering,3,3,2,eher gering,eher hoch,eher gering,Nein,nein,nein,ja,ja,ja,nein,eher ja,Keine Angabe,,,,,,eher ja,eher ja,eher ja,eher ja,eher nein,stimme eher zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher nicht zu,stimme eher nicht zu,2.5,2.6666666666666665,1.6666666666666667,2.8,2.5,1.0,,,,,,,,,,,,,,,,,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angrenzend zu einem Radon-Gebieten-Mieter*innen
1,Männlich,1958,09113,Ausbildung,2,Nein,Nein,Ich wohne zur Miete.,Nein,in einem Mehrfamilienhaus oder einer Wohnung,länger als 10 Jahre,länger als 10 Jahre,2. Etage oder höher,Nein,,,,,,,,,,,,,,,,,Ja,,,,,,,,,,,,,,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,eher ja,eher ja,mittelmäßig,eher ja,eher ja,mittelmäßig,mittelmäßig,eher ja,eher ja,eher ja,man sollte messen,nichts,Option B,Option B,Option A,Option A,Option B,Option B,,eher hoch,eher gering,eher gering,eher gering,3,3,3,eher hoch,eher hoch,eher hoch,Nein,eher ja,Keine Angabe,eher ja,eher nein,eher ja,Keine Angabe,Keine Angabe,Keine Angabe,,,,,,ja,eher ja,ja,eher ja,eher ja,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,stimme eher nicht zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher nicht zu,2.0,1.0,2.0,3.4,3.7,1.0,,,,,,,,,,,,,,,,,not_clicked,not_clicked,clicked,clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angrenzend zu einem Radon-Gebieten-Mieter*innen
2,Männlich,1963,01257,Ausbildung,2,Nein,Nein,Ich wohne zur Miete.,Nein,in einem Mehrfamilienhaus oder einer Wohnung,länger als 10 Jahre,länger als 10 Jahre,2. Etage oder höher,Nein,,,,,,,,,,,,,,,,,Nein,,,,,,,,,,,,,,Ich wohne in einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte über dem Referenzwert von 100 kBq/m3 an.,ja,ja,ja,ja,ja,nein,ja,ja,ja,ja,,,ich weiss es nicht,ich weiss es nicht,ich weiss es nicht,ich weiss es nicht,ich weiss es nicht,ich weiss es nicht,,gering,Keine Angabe,Keine Angabe,Keine Angabe,-1,-1,-1,Keine Angabe,Keine Angabe,Keine Angabe,Nein,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Nein,Keine Angabe,Keine Angabe,Keine Angabe,,,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,0.0,0.0,0.0,0.0,4.6,0.0,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Radon-Gebiet-Mieter*innen
3,Männlich,1979,94136,Schulabschluß,4,Ja,Nein,Ich wohne im eigenen Haus bzw. in der eigenen Wohnung.,Nein,in einem  Ein- oder Zweifamilienhaus,länger als 10 Jahre,länger als 10 Jahre,1. Etage,Nein,,,,,,,,,,,,,,,,,Ja,,,,,,,,,,,,,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,,ja,eher ja,eher ja,eher ja,ja,eher ja,eher ja,eher ja,eher ja,eher ja,,,Option B,Option B,Option A,Option A,Option B,Option B,,eher gering,gering,eher gering,eher gering,3,4,-1,eher hoch,hoch,hoch,Ja,,,,,,,,Ja,,,,,,ja,eher ja,eher ja,eher ja,eher nein,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme nicht zu,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme zu,stimme eher zu,3.25,2.5,1.6666666666666667,3.0,4.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_clicked,clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,,,,,,,,,,,,,,,,,Angrenzend zu einem Radon-Gebieten-Eigentum*innen
4,Weiblich,1966,09122,Ausbildung,1,Nein,Nein,Ich wohne im eigenen Haus bzw. in der eigenen Wohnung.,Nein,in einem Mehrfamilienhaus oder einer Wohnung,länger als 10 Jahre,länger als 10 Jahre,2. Etage oder höher,Ja,Edelgas,1,Nicht ausgewählt,Nicht ausgewählt,Nicht ausgewählt,Nicht ausgewählt,ausgewählt,eher nein,eher ja,eher ja,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Ja,Nein,,Nein,,Nein,Nein,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,,eher ja,mittelmäßig,mittelmäßig,mittelmäßig,eher ja,mittelmäßig,mittelmäßig,eher ja,eher ja,mittelmäßig,,,Option B,Option B,ich weiss es nicht,Option A,Option B,ich weiss es nicht,eher nein,eher gering,Keine Angabe,Keine Angabe,Keine Angabe,3,4,3,Keine Angabe,Keine Angabe,Keine Angabe,Nein,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,eher ja,Keine Angabe,Keine Angabe,Ja,,,,,,eher ja,eher ja,eher ja,eher ja,Keine Angabe,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,3.0,2.0,0.0,2.4,3.4,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,,,,,,,,,,,,,,,,,Angrenzend zu einem Radon-Gebieten-Eigentum*innen
5,Männlich,1948,85567,Hochschulabschluß,2,Nein,Ja,Ich wohne zur Miete.,Nein,in einem  Ein- oder Zweifamilienhaus,länger als 10 Jahre,länger als 10 Jahre,1. Etage,Ja,Edelgas,2,Nicht ausgewählt,Nicht ausgewählt,ausgewählt,Nicht ausgewählt,ausgewählt,eher nein,eher ja,ja,eher ja,eher nein,eher nein,eher gering,eher gering,eher gering,Ja,Nein,,Nein,,Nein,Nein,eher hohe Wirksamkeit,eher geringe Wirksamkeit,eher hohe Wirksamkeit,eher geringe Wirksamkeit,eher hohe Wirksamkeit,hohe Wirksamkeit,,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,eher ja,mittelmäßig,eher nein,mittelmäßig,mittelmäßig,mittelmäßig,eher nein,eher nein,mittelmäßig,nein,garnix,zu reisserisch - zu wenig sachlich,Option B,Option A,Option A,Option A,Option B,Option B,nein,eher gering,eher gering,eher gering,gering,2,2,2,eher gering,eher gering,eher gering,Nein,ja,ja,ja,ja,ja,ja,ja,Nein,ja,ja,ja,das ist reine geldkassiermasch,,nein,nein,eher ja,nein,nein,stimme zu,stimme eher zu,stimme nicht zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher nicht zu,stimme zu,stimme eher zu,stimme zu,stimme nicht zu,Keine Angabe,Keine Angabe,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,1.0,2.0555555555555554,1.6666666666666667,1.4,2.6,0.8333333333333334,,,,,,,,,,,,,,,,,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angrenzend zu einem Radon-Gebieten-Mieter*innen
6,Weiblich,1968,95671,Ausbildung,3,Nein,Ja,Ich wohne im eigenen Haus bzw. in der eigenen Wohnung.,Nein,in einem  Ein- oder Zweifamilienhaus,länger als 10 Jahre,länger als 10 Jahre,1. Etage,Nein,,,,,,,,,,,,,,,,,Nein,,,,,,,,,,,,,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,,eher ja,eher ja,eher ja,eher ja,eher ja,eher nein,eher ja,eher ja,eher ja,eher ja,gut erklärt,sehr lang,Option B,Option B,Option A,Option A,Option B,Option B,,eher gering,eher gering,eher gering,eher gering,4,4,4,eher gering,eher gering,eher gering,Nein,eher nein,nein,eher nein,eher ja,eher ja,Keine Angabe,eher nein,Ja,,,,habe noch nie etwas davon gehört,,ja,nein,ja,nein,nein,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme zu,Keine Angabe,stimme eher nicht zu,stimme eher zu,Keine Angabe,stimme eher zu,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,stimme zu,stimme zu,stimme zu,stimme zu,4.0,1.8888888888888888,2.0,2.2,3.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,,,,,,,,,,,,,,,,,Angrenzend zu einem Radon-Gebieten-Eigentum*innen
7,Weiblich,1961,01237,Ausbildung,2,Nein,Nein,Ich wohne zur Miete.,Nein,in einem Mehrfamilienhaus oder einer Wohnung,länger als 10 Jahre,länger als 10 Jahre,1. Etage,Nein,,,,,,,,,,,,,,,,,Ja,,,,,,,,,,,,,,Ich wohne in einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte über dem Referenzwert von 100 kBq/m3 an.,ja,eher ja,eher ja,eher ja,eher ja,ja,ja,ja,eher ja,eher ja,klar struktoriert,,Option B,Option B,Option A,Option A,Option B,Option A,,eher gering,gering,gering,gering,4,4,4,hoch,hoch,hoch,Ja,,,,,,,,Ja,,,,,,ja,ja,ja,ja,eher ja,stimme eher nicht zu,stimme zu,stimme zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme zu,stimme eher nicht zu,stimme nicht zu,stimme zu,stimme eher zu,stimme zu,stimme eher zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,1.0,3.2777777777777777,1.0,3.8,4.4,0.8333333333333334,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Radon-Gebiet-Mieter*innen
8,Männlich,1970,82178,Ausbildung,2,Nein,Ja,Ich wohne im eigenen Haus bzw. in der eigenen Wohnung.,Nein,in einem  Ein- oder Zweifamilienhaus,länger als 10 Jahre,0 bis 5 Jahres,1. Etage,Ja,Edelgas,3,ausgewählt,Nicht ausgewählt,ausgewählt,Nicht ausgewählt,ausgewählt,ja,eher ja,ja,ja,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Ja,Nein,,Nein,,Nein,Nein,eher hohe Wirksamkeit,keine Wirksamkeit,eher geringe Wirksamkeit,Keine Angabe,Keine Angabe,eher hohe Wirksamkeit,Ich wohne in einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte über dem Referenzwert von 100 kBq/m3 an.,,ja,ja,ja,ja,ja,ja,ja,ja,ja,ja,"optisch ansprechend, übersichtlich, logisch aufgebaut und informativ",mir ist nichts negatives aufgefallen,Option B,Option B,Option A,Option A,Option B,Option B,eher ja,Keine Angabe,gering,eher gering,gering,3,4,4,eher hoch,eher hoch,eher hoch,Ja,,,,,,,,Ja,,,,,,ja,ja,ja,ja,eher nein,stimme eher nicht zu,stimme zu,stimme eher nicht zu,stimme zu,stimme eher nicht zu,stimme eher zu,stimme nicht zu,stimme zu,stimme eher nicht zu,stimme zu,stimme eher nicht zu,stimme eher zu,stimme nicht zu,stimme eher zu,stimme eher zu,Keine Angabe,stimme zu,stimme eher zu,stimme eher nicht zu,stimme nicht zu,stimme eher nicht zu,stimme zu,2.25,3.0,1.3333333333333333,3.6,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_clicked,not_clicked,not_clicked,clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,Radon-Gebiet-Eigentum*innen
9,Männlich,1956,01099,Ausbildung,2,Nein,Nein,Ich wohne zur Miete.,Nein,in einem Mehrfamilienhaus oder einer Wohnung,länger als 10 Jahre,länger als 10 Jahre,2. Etage oder höher,Ja,Edelgas,2,Nicht ausgewählt,ausgewählt,Nicht ausgewählt,Nicht ausgewählt,ausgewählt,ja,eher ja,ja,ja,Keine Angabe,nein,eher hoch,eher hoch,eher gering,Ja,Nein,,Nein,,Nein,Nein,eher hohe Wirksamkeit,eher geringe Wirksamkeit,eher geringe Wirksamkeit,keine Wirksamkeit,keine Wirksamkeit,hohe Wirksamkeit,,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,eher ja,mittelmäßig,mittelmäßig,mittelmäßig,mittelmäßig,eher nein,mittelmäßig,eher nein,eher ja,nein,,zu lang,ich weiss es nicht,ich weiss es nicht,Option A,Option A,Option A,Option B,eher nein,eher hoch,eher gering,eher gering,gering,3,3,2,eher hoch,eher hoch,eher gering,Nein,Keine Angabe,Keine Angabe,eher ja,Keine Angabe,eher ja,Keine Angabe,eher ja,Ja,,,,,,ja,eher ja,ja,eher ja,ja,stimme eher zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,Keine Angabe,stimme eher zu,stimme eher nicht zu,stimme eher zu,Keine Angabe,stimme eher zu,Keine Angabe,stimme eher zu,stimme eher zu,stimme zu,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,stimme eher zu,stimme eher zu,1.5,1.7777777777777777,1.6666666666666667,3.6,2.8,0.5,,,,,,,,,,,,,,,,,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angrenzend zu einem Radon-Gebieten-Mieter*innen
