"VAR","RESPONSE","MEANING"
"SD01",1,"M‰nnlich"
"SD01",2,"Weiblich"
"SD01",3,"Divers"
"SD01",-1,"Keine Angabe"
"SD01",-9,"nicht beantwortet"
"SD04",1,"Noch Sch¸ler"
"SD04",2,"Schule beendet ohne Abschluss"
"SD04",3,"Schulabschluﬂ"
"SD04",4,"Ausbildung"
"SD04",5,"Hochschulabschluﬂ"
"SD04",6,"Sonstiges"
"SD04",-1,"Keine Angabe"
"SD04",-9,"nicht beantwortet"
"SD06",1,"Ja"
"SD06",2,"Nein"
"SD06",-1,"Keine Angabe"
"SD06",-9,"nicht beantwortet"
"SD07",1,"Nein"
"SD07",2,"Ja"
"SD07",-1,"Keine Angabe"
"SD07",-9,"nicht beantwortet"
"HI01",1,"ich wohne zur Miete."
"HI01",2,"ich wohne im eigenen Haus bzw. in der eigenen Wohnung."
"HI01",-9,"nicht beantwortet"
"HI02",1,"Nein"
"HI02",2,"Ja"
"HI02",-1,"Keine Angabe"
"HI02",-9,"nicht beantwortet"
"HI03",1,"in einem Ein- oder Zweifamilienhaus"
"HI03",2,"in einem Mehrfamilienhaus oder einer Wohnung"
"HI03",-1,"Keine Angabe"
"HI03",-9,"nicht beantwortet"
"HI04",1,"0 bis 5 Jahre"
"HI04",2,"5 bis 10 Jahre"
"HI04",3,"10 Jahre oder l‰nger"
"HI04",-1,"Keine Angabe"
"HI04",-9,"nicht beantwortet"
"HI05",1,"0 bis 5 Jahre"
"HI05",2,"5 bis 10 Jahre"
"HI05",3,"10 Jahre oder l‰nger"
"HI05",-1,"Keine Angabe"
"HI05",-9,"nicht beantwortet"
"HI06",1,"Souterrain"
"HI06",2,"Erdgeschoﬂ"
"HI06",3,"1. Etage"
"HI06",4,"2. Etage oder hˆher"
"HI06",-1,"Keine Angabe"
"HI06",-9,"nicht beantwortet"
"VR01",1,"Nein"
"VR01",2,"Ja"
"VR01",-9,"nicht beantwortet"
"VR02",1,"Alarmsystem"
"VR02",2,"Fahrrad"
"VR02",3,"Softwarehersteller"
"VR02",4,"mathematischer Algorithmus"
"VR02",5,"Maklersoftware"
"VR02",6,"Edelgas"
"VR02",7,"Energiesparlampe"
"VR02",-1,"Keine Angabe"
"VR02",-9,"nicht beantwortet"
"VR03",-1,"Keine Angabe"
"VR03_01",1,"nicht gew‰hlt"
"VR03_01",2,"ausgew‰hlt"
"VR03_02",1,"nicht gew‰hlt"
"VR03_02",2,"ausgew‰hlt"
"VR03_03",1,"nicht gew‰hlt"
"VR03_03",2,"ausgew‰hlt"
