"VAR","LABEL","TYPE","INPUT","QUESTION"
"CASE","Interview-Nummer (fortlaufend)","METRIC","SYSTEM",
"SERIAL","Seriennummer (sofern verwendet)","TEXT","SYSTEM",
"REF","Referenz (sofern im Link angegeben)","TEXT","SYSTEM",
"QUESTNNR","Fragebogen, der im Interview verwendet wurde","TEXT","SYSTEM",
"MODE","Interview-Modus","TEXT","SYSTEM",
"STARTED","Zeitpunkt zu dem das Interview begonnen hat (Europe/Berlin)","TIME","SYSTEM",
"M501_01","Schutzmaßnahmen: Was kann ich tun? Was muss ich tun?: Lüften","TEXT","UNDEFINED",""
"M501_02","Schutzmaßnahmen: Was kann ich tun? Was muss ich tun?: Abdichten von Türen und Leitungen zum Keller","TEXT","UNDEFINED",""
"M501_03","Schutzmaßnahmen: Was kann ich tun? Was muss ich tun?: Eintrittswege des Radons ins Gebäude abdichten","TEXT","UNDEFINED",""
"M501_04","Schutzmaßnahmen: Was kann ich tun? Was muss ich tun?: Radonhaltige Bodenluft absaugen","TEXT","UNDEFINED",""
"M501_05","Schutzmaßnahmen: Was kann ich tun? Was muss ich tun?: Radon-Fachperson hinzuziehen","TEXT","UNDEFINED",""
"M501_06","Schutzmaßnahmen: Was kann ich tun? Was muss ich tun?: Schutzmaßnahmen bei Neubauten","TEXT","UNDEFINED",""
"M502_01","Gesetzliche Regelungen zum Schutz vor Radon: Private, bereits bestehende Wohngebäude","TEXT","UNDEFINED",""
"M502_02","Gesetzliche Regelungen zum Schutz vor Radon: Private Neubauten","TEXT","UNDEFINED",""
"M502_03","Gesetzliche Regelungen zum Schutz vor Radon: Arbeitsplätze","TEXT","UNDEFINED",""
"SD01","Geben Sie bitte Ihr Geschlecht an.","NOMINAL","SELECTION","Geben Sie bitte Ihr Geschlecht an."
"SD02_01","Bitte nennen Sie uns Ihr Geburtsjahr.: Geburtsjahr (Vierstellig)","TEXT","OPEN","Bitte nennen Sie uns Ihr Geburtsjahr."
"SD03_01","Bitte geben Sie die Postleitzahl Ihres Hauptwohnsitzes an: Postleitzahl (fünfstellig)","TEXT","OPEN","Bitte geben Sie Ihre Postleitzahl an."
"SD04","Welchen höchsten Abschluss haben Sie?","NOMINAL","SELECTION","Welchen höchsten Abschluss haben Sie?"
"SD05_01","Wie viele Menschen wohnen in Ihrem Haushalt?: Anzahl","TEXT","OPEN","Wie viele Menschen wohnen in Ihrem Haushalt?"
"SD06","Wohnen in Ihrem Haushalt Kinder (unter 18)?","NOMINAL","SELECTION","Wohnen in Ihrem Haushalt Kinder (unter 18)?"
"SD07","Rauchen Sie zurzeit ? wenn auch nur gelegentlich?","NOMINAL","SELECTION","Rauchen Sie zurzeit ? wenn auch nur gelegentlich?"
"HI01","Wohnen Sie zur Miete oder im eigenen Haus bzw. in der eigenen Wohnung?","NOMINAL","SELECTION","Wohnen Sie zur Miete oder im eigenen Haus bzw. in der eigenen Wohnung?
"
"HI02","Besitzen Sie neben der Immobilie, in der Sie derzeit wohnen noch weitere Immobilien im selben Landkreis, die Sie vermieten?","NOMINAL","SELECTION","Besitzen Sie Immobilien, die sie vermieten?
"
"HI03","In welchem Gebäudetyp wohnen Sie?","NOMINAL","SELECTION","In welchem Gebäudetyp wohnen Sie?"
"HI04","Seit wann wohnen Sie in Ihrer jetzigen Wohnung bzw. dem jetzigen Haus?","NOMINAL","SELECTION","Seit wann wohnen Sie in Ihrer jetzigen Wohnung bzw. dem jetzigen Haus?"
"HI05","Wie lange planen Sie in der jetzigen Wohnung oder dem jetzigen Haus zu wohnen?","NOMINAL","SELECTION","Wie lange planen Sie, in der jetzigen Wohnung oder dem jetzigen Haus zu wohnen?"
"HI06","In welcher Etage wohnen Sie?","NOMINAL","SELECTION","In welcher Etage wohnen Sie?"
"VR01","Haben Sie schon einmal etwas über das Thema Radon gehört?","NOMINAL","SELECTION","Haben Sie schon einmal etwas über das Thema Radon gehört?"
"VR02","Was ist Ihrer Ansicht nach Radon? ","NOMINAL","SELECTION","Was ist Ihrer Ansicht nach Radon? "
"VR03","Wo befindet sich Radon Ihrer Ansicht nach in hoher Konzentration?: Ausweichoption (negativ) oder Anzahl ausgewählter Optionen","METRIC","SYSTEM","Wo befindet sich Radon Ihrer Ansicht nach in hoher Konzentration?"
"VR03_01","Wo befindet sich Radon Ihrer Ansicht nach in hoher Konzentration?: eher im Freien","DICHOTOMOUS","CHECKBOX","Wo befindet sich Radon Ihrer Ansicht nach in hoher Konzentration?"
"VR03_02","Wo befindet sich Radon Ihrer Ansicht nach in hoher Konzentration?: im Inneren von Gebäuden","DICHOTOMOUS","CHECKBOX","Wo befindet sich Radon Ihrer Ansicht nach in hoher Konzentration?"
"VR03_03","Wo befindet sich Radon Ihrer Ansicht nach in hoher Konzentration?: eher im Keller","DICHOTOMOUS","CHECKBOX","Wo befindet sich Radon Ihrer Ansicht nach in hoher Konzentration?"
"VR03_04","Wo befindet sich Radon Ihrer Ansicht nach in hoher Konzentration?: in den oberen Wohngeschossen","DICHOTOMOUS","CHECKBOX","Wo befindet sich Radon Ihrer Ansicht nach in hoher Konzentration?"
"VR03_05","Wo befindet sich Radon Ihrer Ansicht nach in hoher Konzentration?: im Gestein und im Boden","DICHOTOMOUS","CHECKBOX","Wo befindet sich Radon Ihrer Ansicht nach in hoher Konzentration?"
